ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon1998,pH1998,Horizon2008,pH2008,Horizon2015,pH2015
3,46.77879099993472,-117.08667799999922,0,10,Ap,5.44,Ap,5.14,Ap,4.8
3,46.77879099993472,-117.08667799999922,10,20,Ap,5.27,Ap,5.47,Ap,4.9
3,46.77879099993472,-117.08667799999922,20,30,Ap,6.08,Ap-A,6.1,Ap-A,5.61
3,46.77879099993472,-117.08667799999922,30,39,A,5.84,A,5.9,A,6.08
3,46.77879099993472,-117.08667799999922,39,65,AB,6.14,AB,6.25,AB,6.52
3,46.77879099993472,-117.08667799999922,65,98,Btb1,6.53,Btb1,6.54,Btb1,6.86
3,46.77879099993472,-117.08667799999922,98,153,Btb2,6.76,Btb2,6.75,Btb2,7.11
5,46.77866599993601,-117.08584199999683,0,10,Ap,5.55,Ap,0,Ap,4.52
5,46.77866599993601,-117.08584199999683,10,20,Ap,5.35,Ap-A,5.04,Ap-A,5.19
5,46.77866599993601,-117.08584199999683,20,30,Ap,6.45,A,6.13,A,5.82
5,46.77866599993601,-117.08584199999683,30,42,A,6.01,A,5.73,A,6.01
5,46.77866599993601,-117.08584199999683,42,66,BA,6.28,BA,6.26,BA,6.48
5,46.77866599993601,-117.08584199999683,66,97,Bw1,6.61,Bw1,6.59,Bw1,6.88
5,46.77866599993601,-117.08584199999683,97,153,Bw2,6.98,Bw2,6.85,Bw2,7.16
7,46.77863199993578,-117.08500599999627,0,10,Ap,5.46,Ap,4.86,Ap,4.79
7,46.77863199993578,-117.08500599999627,10,20,Ap,5.71,Ap,5.09,Ap,5.11
7,46.77863199993578,-117.08500599999627,20,30,Ap,6.14,Ap-A,5.94,Ap-A,5.69
7,46.77863199993578,-117.08500599999627,30,66,A,6.12,A,6.16,A,6.31
7,46.77863199993578,-117.08500599999627,66,84,Bw,6.46,Ab,6.44,Bw,6.74
7,46.77863199993578,-117.08500599999627,84,100,Ab,6.66,Bw,6.54,Aburied,6.9
7,46.77863199993578,-117.08500599999627,100,153,Bwb,6.78,Bwb,6.7,Bwb,7.19
9,46.77867399993299,-117.08416999999837,0,10,Ap,5.45,Ap,4.77,Ap,4.55
9,46.77867399993299,-117.08416999999837,10,20,Ap,5.41,Ap,5.26,Ap,4.78
9,46.77867399993299,-117.08416999999837,20,30,Ap,5.96,A,6.08,A,5.79
9,46.77867399993299,-117.08416999999837,30,47,A,5.93,A,5.64,A,6.06
9,46.77867399993299,-117.08416999999837,47,73,Bw1,6.33,Bw1,6.38,Bw1,6.73
9,46.77867399993299,-117.08416999999837,73,103,Bw2,6.45,Bw2,6.63,Bw2,6.94
9,46.77867399993299,-117.08416999999837,103,153,Bwb,6.57,Bwb,7.07,Bwb,7.16
11,46.77865799993266,-117.08333399999816,0,10,Ap,5.59,Ap,4.66,Ap,4.69
11,46.77865799993266,-117.08333399999816,10,20,Ap,5.3,Ap,5.43,Ap,5.2
11,46.77865799993266,-117.08333399999816,20,30,Ap,5.89,Ap-A,6.09,Ap-A,5.84
11,46.77865799993266,-117.08333399999816,30,44,A,6.08,A,5.95,A,6.16
11,46.77865799993266,-117.08333399999816,44,62,AB,6.27,AB,6.27,AB,6.84
11,46.77865799993266,-117.08333399999816,62,93,Bw1,6.57,Bw1,6.48,Bw1,7.13
11,46.77865799993266,-117.08333399999816,93,153,Bw2,6.71,Bw2,6.81,Bw2,7.05
13,46.778763999934995,-117.08249800000364,0,10,Ap,5.42,Ap,4.94,Ap,4.97
13,46.778763999934995,-117.08249800000364,10,20,Ap,5.52,Ap,5.44,Ap,5.38
13,46.778763999934995,-117.08249800000364,20,30,Ap,6.17,A,6.16,Ap-A,5.91
13,46.778763999934995,-117.08249800000364,30,48,A,6.22,A,5.47,A,6.18
13,46.778763999934995,-117.08249800000364,48,77,AB,6.4,AB,6.11,AB,6.68
13,46.778763999934995,-117.08249800000364,77,105,Btb1,6.57,Btb1,6.41,Btb1,6.89
13,46.778763999934995,-117.08249800000364,105,153,Btb2,6.74,Btb2,6.62,Btb2,7.09
15,46.7787069999349,-117.08124400000357,0,10,Ap,5.74,Ap,4.88,Ap,5.18
15,46.7787069999349,-117.08124400000357,10,20,Ap,5.83,Ap-A,5.58,Ap-A,6.13
15,46.7787069999349,-117.08124400000357,20,30,Ap,6.74,A,6.5,A,6.24
15,46.7787069999349,-117.08124400000357,30,40,A,6.1,A,5.74,A,5.91
15,46.7787069999349,-117.08124400000357,40,64,BE,6.11,BE,6.08,BE,6.55
15,46.7787069999349,-117.08124400000357,64,79,E,6.2,E,6.44,,
15,46.7787069999349,-117.08124400000357,79,110,Btb1,5.81,Btb1,6.16,,
15,46.7787069999349,-117.08124400000357,110,153,Btb2,5.81,Btb2,5.97,Btb2,6.76
15,46.7787069999349,-117.08124400000357,64,81,,,,,E,6.91
15,46.7787069999349,-117.08124400000357,81,110,,,,,Btb1,6.81
17,46.77879699993179,-117.07998999999812,0,10,Ap,5.25,Ap,4.58,Ap,4.54
17,46.77879699993179,-117.07998999999812,10,20,A1,5,Ap-A1,5.1,Ap-A1,4.95
17,46.77879699993179,-117.07998999999812,20,30,A1,5.68,A1,5.88,A1,5.71
17,46.77879699993179,-117.07998999999812,30,33,A1,5.68,,5.13,A1,5.61
17,46.77879699993179,-117.07998999999812,33,65,A2,5.89,A2,5.95,A2,6.33
17,46.77879699993179,-117.07998999999812,65,86,AB,6.41,AB,6.17,,
17,46.77879699993179,-117.07998999999812,86,153,Bw,6.11,Bw,6.09,,
17,46.77879699993179,-117.07998999999812,65,90,,,,,AB,6.92
17,46.77879699993179,-117.07998999999812,90,153,,,,,Bw,7.57
19,46.778826619173316,-117.08846626321171,0,10,Ap,4.61,Ap,4.54,Ap,4.46
19,46.778826619173316,-117.08846626321171,10,20,Ap,5.22,Ap,4.78,Ap,4.62
19,46.778826619173316,-117.08846626321171,20,30,Ap,6.01,Ap-A,5.88,Ap-A,5.39
19,46.778826619173316,-117.08846626321171,30,48,A,5.63,A,5.75,,
19,46.778826619173316,-117.08846626321171,48,64,Bw,5.9,Bw,6.08,,
19,46.778826619173316,-117.08846626321171,64,82,EB,6.15,EB,6.29,,
19,46.778826619173316,-117.08846626321171,82,110,Btb1,6,Btb1,6.38,,
19,46.778826619173316,-117.08846626321171,110,127,Btb2,6.19,Btb2,6.4,Btb2,6.75
19,46.778826619173316,-117.08846626321171,127,153,Btb3,6.29,Btb3,6.38,Btb3,6.93
19,46.778826619173316,-117.08846626321171,30,43,,,,,A,5.87
19,46.778826619173316,-117.08846626321171,43,64,,,,,Bw,6.35
19,46.778826619173316,-117.08846626321171,64,83,,,,,EB,6.64
19,46.778826619173316,-117.08846626321171,83,110,,,,,Btb1,6.75
21,46.77884199993136,-117.08764599999684,0,10,Ap,5.3,Ap,4.99,Ap,5.39
21,46.77884199993136,-117.08764599999684,10,20,A,5.89,Ap-A,5.58,Ap-A,5.35
21,46.77884199993136,-117.08764599999684,20,30,A,6.34,A-AB,6.52,A-AB,6.02
21,46.77884199993136,-117.08764599999684,30,49,AB,6.32,AB,6.14,AB,6.54
21,46.77884199993136,-117.08764599999684,49,69,Bw,6.48,Bw,6.44,Bw,6.88
21,46.77884199993136,-117.08764599999684,69,114,Bwk1,7.71,Bwk1,7.53,Bwk1,7.61
21,46.77884199993136,-117.08764599999684,114,153,Bwk2,7.68,Bwk2,7.91,Bwk2,8.04
23,46.77900277872108,-117.08683096836633,0,10,Ap,5.42,Ap,0,Ap,4.94
23,46.77900277872108,-117.08683096836633,10,20,Ap,5.81,Ap-A,0,Ap-A,5.12
23,46.77900277872108,-117.08683096836633,20,30,Ap,6.44,A,0,A,5.85
23,46.77900277872108,-117.08683096836633,30,37,A,0,A,0,A,5.9
23,46.77900277872108,-117.08683096836633,37,59,BA,6.35,BA,0,BA,6.44
23,46.77900277872108,-117.08683096836633,59,79,Bw1,6.48,Bw1,0,Bw1,6.78
23,46.77900277872108,-117.08683096836633,79,122,Bw2,6.58,Bw2,0,Bw2,7.02
23,46.77900277872108,-117.08683096836633,122,153,Bw3,6.54,Bw3,0,Bw3,7.16
25,46.77904699993503,-117.08597400000059,0,10,Ap,5.5,Ap,5.01,Ap,4.82
25,46.77904699993503,-117.08597400000059,10,20,AB,5.76,Ap-AB,5.11,Ap-AB,4.86
25,46.77904699993503,-117.08597400000059,20,30,AB,6.34,AB,6.02,AB,5.78
25,46.77904699993503,-117.08597400000059,30,33,AB,6.34,,5.4,AB,5.81
25,46.77904699993503,-117.08597400000059,33,58,Bw,6,Bw,6.1,Bw,6.35
25,46.77904699993503,-117.08597400000059,58,88,EB1,6.21,EB1,6.18,EB1,6.68
25,46.77904699993503,-117.08597400000059,88,106,EB2,6.27,EB2,6.49,EB2,6.78
25,46.77904699993503,-117.08597400000059,106,153,Btb,6.05,Btb,6.48,Btb,6.96
27,46.77906281906668,-117.08511703761206,0,10,Ap,5.5,Ap,5.24,Ap,4.47
27,46.77906281906668,-117.08511703761206,10,20,Ap,5.19,Ap,6.08,Ap,4.82
27,46.77906281906668,-117.08511703761206,20,30,Ap,5.78,Ap-BA,4.9,Ap-BA,5.43
27,46.77906281906668,-117.08511703761206,30,41,BA,5.96,BA,5.86,BA,6.15
27,46.77906281906668,-117.08511703761206,41,62,Bw1,6.25,Bw1,6.14,Bw1,6.57
27,46.77906281906668,-117.08511703761206,62,96,Bw2,6.52,Bw2,6.69,Bw2,6.84
27,46.77906281906668,-117.08511703761206,96,128,Bw3,6.83,Bw3,7.51,Bw3,7.09
27,46.77906281906668,-117.08511703761206,128,153,Bk,7.09,Bk,7.65,Bk,7.6
29,46.7790069999304,-117.08430200000468,0,10,Ap,5.5,Ap,4.58,Ap,4.74
29,46.7790069999304,-117.08430200000468,10,20,Ap,5.2,Ap,5.13,Ap,5.05
29,46.7790069999304,-117.08430200000468,20,30,Ap,5.76,Ap-AB,5.95,Ap-AB,5.93
29,46.7790069999304,-117.08430200000468,30,50,AB,6.45,AB,6.15,AB,6.33
29,46.7790069999304,-117.08430200000468,50,68,Bw1,6.59,Bw1,6.69,Bw1,6.68
29,46.7790069999304,-117.08430200000468,68,92,Bw2,6.59,Bw2,7.35,Bw2,7.01
29,46.7790069999304,-117.08430200000468,92,137,Ck1,7.49,Ck1,7.53,,
29,46.7790069999304,-117.08430200000468,137,153,Ck2,7.6,Ck2,7.45,,
29,46.7790069999304,-117.08430200000468,92,132,,,,,Ck1,7.5
29,46.7790069999304,-117.08430200000468,132,153,,,,,Ck2,7.73
31,46.77902299993373,-117.08346599999622,0,10,Ap,5.31,Ap,4.78,Ap,4.79
31,46.77902299993373,-117.08346599999622,10,20,Ap,5.49,Ap-A1,5.37,Ap-A1,5.11
31,46.77902299993373,-117.08346599999622,20,30,Ap,6.2,A1,5.99,A1,5.99
31,46.77902299993373,-117.08346599999622,30,40,A1,6.42,A1,5.7,A1,5.91
31,46.77902299993373,-117.08346599999622,40,57,A2,6.66,A2,6.42,A2,7.5
31,46.77902299993373,-117.08346599999622,57,88,Bw1,6.97,Bw1,6.53,Bw1,7.56
31,46.77902299993373,-117.08346599999622,88,127,Bw2,7.02,Bw2,6.73,Bw2,7.47
31,46.77902299993373,-117.08346599999622,127,153,Bwb,7.05,Bwb,6.72,Bwb,7.62
33,46.7790129999361,-117.08263000000014,0,10,Ap,5.22,Ap-AB,6.27,Ap-AB,5.99
33,46.7790129999361,-117.08263000000014,10,20,AB,6.29,AB,5.41,AB,6.32
33,46.7790129999361,-117.08263000000014,20,30,AB,7.28,Bk,7.19,AB-Bk,6.84
33,46.7790129999361,-117.08263000000014,30,59,Bk,7.5,Bk,7.12,,
33,46.7790129999361,-117.08263000000014,59,96,Bk2,7.82,Bk2,7.6,,
33,46.7790129999361,-117.08263000000014,96,135,Bk3,7.1,Bk3,7.46,,
33,46.7790129999361,-117.08263000000014,135,153,Bk4,7.42,Bk4,7.47,Bk4,7.72
33,46.7790129999361,-117.08263000000014,30,41,,,,,Bk,6.75
33,46.7790129999361,-117.08263000000014,41,76,,,,,Bk2,7.68
33,46.7790129999361,-117.08263000000014,76,135,,,,,Bk3,7.99
35,46.778851999935846,-117.08179400000537,0,10,Ap,5.56,Ap,4.82,Ap,4.83
35,46.778851999935846,-117.08179400000537,10,20,A1,5.63,Ap-A1,5.47,Ap-A1,5.27
35,46.778851999935846,-117.08179400000537,20,30,A1,6.31,A1-A2,6.04,A1-A2,5.96
35,46.778851999935846,-117.08179400000537,30,45,A2,6.36,A2,6.2,A2,6.38
35,46.778851999935846,-117.08179400000537,45,70,AB,6.45,AB,6.35,AB,6.72
35,46.778851999935846,-117.08179400000537,70,87,B/C,6.57,B/C,6.48,B/C,7.09
35,46.778851999935846,-117.08179400000537,87,121,Ab,6.46,Ab,6.31,Aburied,7.06
35,46.778851999935846,-117.08179400000537,121,153,Btb,6.61,Btb,6.52,Btb,7.07
37,46.7789929999345,-117.08095799999668,0,10,Ap,5.83,Ap,5.46,Ap,5.52
37,46.7789929999345,-117.08095799999668,10,20,A,6.1,Ap-A,5.94,Ap-A,5.94
37,46.7789929999345,-117.08095799999668,20,30,A,6.49,A-AE,6.57,A,6.77
37,46.7789929999345,-117.08095799999668,30,42,AE,6.65,AE,6.77,,
37,46.7789929999345,-117.08095799999668,42,69,Bw,6.8,Bw,7.59,,
37,46.7789929999345,-117.08095799999668,69,98,Btk1,7.73,Btk1,7.64,,
37,46.7789929999345,-117.08095799999668,98,140,Btk2,7.66,Btk2,7.57,,
37,46.7789929999345,-117.08095799999668,140,153,Btb,7.62,Btb,7.44,,
